booking_id,requester_id,space_code,requested_start_time,requested_end_time,purpose_of_use,expected_participants,final_booking_status,created_at
1021856,DGU0110,DG027,2024-11-16T14:00:00,2024-11-16T15:00:00,lecture,41,approved,2024-10-23T09:19:00
1021857,DGU0265,DG019,2022-12-17T14:00:00,2022-12-17T15:00:00,workshop,105,approved,2022-12-08T08:48:00
1021858,DGU0319,DG049,2023-09-14T12:00:00,2023-09-14T13:00:00,administrative event,91,completed,2023-08-01T11:26:00
1021859,DGL0030,DG043,2025-04-12T12:30:00,2025-04-12T14:00:00,examination,271,pending,2025-03-15T05:02:00
1021860,DGU0161,DG009,2023-11-21T13:00:00,2023-11-21T14:00:00,lecture,26,approved,2023-10-24T08:33:00
1021861,DGU0077,DG053,2023-11-26T12:00:00,2023-11-26T13:00:00,seminar,1,completed,2023-09-27T07:36:00
1021862,DGU0050,DG037,2024-05-03T14:30:00,2024-05-03T15:30:00,administrative event,131,pending,2024-03-05T14:05:00
1021863,DGU0079,DG039,2024-12-06T14:00:00,2024-12-06T15:00:00,lecture,19,completed,2024-10-07T10:31:00
1021864,DGU0066,DG040,2023-10-31T15:00:00,2023-10-31T16:00:00,student activity,8,completed,2023-10-13T13:29:00
1021865,DGU0284,DG010,2024-07-20T11:00:00,2024-07-20T12:30:00,student activity,5,cancelled,2024-05-21T06:27:00
1021866,DGU0335,DG005,2023-09-10T14:00:00,2023-09-10T17:00:00,administrative event,17,approved,2023-09-01T06:41:00
1021867,DGU0003,DG039,2024-03-10T08:00:00,2024-03-10T09:00:00,examination,23,pending,2024-02-04T22:40:00
1021868,DGU0320,DG033,2023-10-29T12:00:00,2023-10-29T13:00:00,examination,20,pending,2023-09-16T10:58:00
1021869,DGU0083,DG004,2025-08-15T17:00:00,2025-08-15T18:00:00,workshop,3,completed,2025-08-07T16:03:00
1021870,DGU0336,DG015,2025-03-01T10:00:00,2025-03-01T11:00:00,examination,14,cancelled,2025-01-30T00:29:00
1021871,DGU0142,DG045,2024-12-03T10:00:00,2024-12-03T13:00:00,examination,8,completed,2024-11-30T06:05:00
1021872,DGU0132,DG054,2024-03-08T16:00:00,2024-03-08T17:00:00,meeting,34,completed,2024-01-27T06:44:00
1021873,DGU0235,DG043,2023-03-22T11:00:00,2023-03-22T14:00:00,examination,117,completed,2023-03-14T05:39:00
1021874,DGU0216,DG023,2022-09-16T08:30:00,2022-09-16T09:30:00,administrative event,3,cancelled,2022-07-22T01:49:00
1021875,DGU0053,DG024,2024-02-19T11:30:00,2024-02-19T12:30:00,meeting,32,pending,2024-01-13T11:04:00
1021876,DGU0337,DG020,2025-01-21T15:00:00,2025-01-21T16:00:00,lecture,33,completed,2025-01-02T09:30:00
1021877,DGU0256,DG010,2024-09-17T15:00:00,2024-09-17T16:00:00,meeting,6,rejected,2024-07-21T10:22:00
1021878,DGTA0009,DG006,2024-09-20T10:00:00,2024-09-20T12:00:00,meeting,38,completed,2024-08-15T01:31:00
1021879,DGDA0009,DG004,2024-01-26T16:00:00,2024-01-26T18:00:00,workshop,3,cancelled,2024-01-01T13:37:00
1021880,DGU0108,DG009,2025-01-04T13:00:00,2025-01-04T15:00:00,lecture,21,completed,2024-11-30T10:32:00
1021881,DGU0195,DG047,2024-06-22T16:00:00,2024-06-22T17:00:00,meeting,6,cancelled,2024-05-14T10:19:00
1021882,DGU0254,DG051,2025-02-28T10:30:00,2025-02-28T11:30:00,examination,10,cancelled,2025-01-31T05:44:00
1021883,DGU0165,DG023,2024-07-06T11:00:00,2024-07-06T12:00:00,administrative event,2,approved,2024-06-23T07:15:00
1021884,DGU0312,DG012,2023-09-30T15:00:00,2023-09-30T16:00:00,meeting,10,completed,2023-08-14T08:01:00
1021885,DGU0108,DG046,2025-03-14T11:30:00,2025-03-14T13:30:00,workshop,21,pending,2025-03-06T05:57:00
1021886,DGU0227,DG031,2024-07-13T09:00:00,2024-07-13T10:00:00,workshop,161,completed,2024-06-06T06:07:00
1021887,DGU0372,DG060,2023-08-04T11:00:00,2023-08-04T12:00:00,meeting,18,approved,2023-06-06T09:43:00
1021888,DGU0157,DG002,2024-05-13T17:00:00,2024-05-13T18:00:00,examination,29,completed,2024-04-29T08:44:00
1021889,DGU0083,DG015,2024-10-29T10:30:00,2024-10-29T11:30:00,lecture,33,pending,2024-09-23T08:56:00
1021890,DGU0042,DG053,2022-09-13T11:00:00,2022-09-13T13:00:00,administrative event,4,pending,2022-09-03T08:14:00
1021891,DGU0376,DG001,2024-11-03T14:00:00,2024-11-03T15:00:00,lecture,79,pending,2024-10-18T08:26:00
1021892,DGU0197,DG031,2024-02-10T08:30:00,2024-02-10T10:00:00,administrative event,287,cancelled,2024-01-23T06:51:00
1021893,DGU0162,DG050,2023-05-10T08:00:00,2023-05-10T10:00:00,seminar,23,no-show,2023-03-27T00:33:00
1021894,DGU0385,DG004,2025-06-20T13:00:00,2025-06-20T15:00:00,meeting,25,rejected,2025-04-29T05:12:00
1021895,DGU0380,DG008,2024-09-19T08:00:00,2024-09-19T10:00:00,examination,27,completed,2024-07-28T00:54:00
1021896,DGU0045,DG040,2022-12-14T08:00:00,2022-12-14T09:00:00,meeting,17,approved,2022-11-12T00:53:00
1021897,DGU0305,DG003,2025-06-01T14:00:00,2025-06-01T15:00:00,student activity,52,rejected,2025-04-03T11:17:00
1021898,DGU0383,DG043,2022-12-18T12:00:00,2022-12-18T14:00:00,seminar,185,approved,2022-10-23T05:38:00
1021899,DGU0252,DG046,2025-07-30T08:00:00,2025-07-30T09:00:00,student activity,14,cancelled,2025-05-30T23:48:00
1021900,DGU0362,DG024,2025-02-14T15:00:00,2025-02-14T18:00:00,student activity,34,completed,2025-01-20T08:43:00
1021901,DGU0259,DG034,2023-03-26T11:30:00,2023-03-26T13:30:00,student activity,13,pending,2023-03-08T06:11:00
1021902,DGU0392,DG049,2025-07-22T10:00:00,2025-07-22T11:00:00,workshop,128,approved,2025-06-06T05:31:00
1021903,DGU0063,DG047,2024-09-29T13:30:00,2024-09-29T15:00:00,meeting,8,pending,2024-09-11T08:17:00
1021904,DGU0355,DG004,2025-01-29T08:30:00,2025-01-29T09:30:00,meeting,12,pending,2025-01-12T03:46:00
1021905,DGU0308,DG039,2022-09-11T16:00:00,2022-09-11T17:00:00,lecture,30,pending,2022-07-27T10:59:00
1021906,DGU0116,DG044,2023-06-02T13:00:00,2023-06-02T16:00:00,examination,53,completed,2023-05-14T10:47:00
1021907,DGU0141,DG008,2023-07-11T11:30:00,2023-07-11T13:00:00,lecture,40,pending,2023-06-09T08:19:00
1021908,DGU0270,DG026,2023-12-11T10:00:00,2023-12-11T12:00:00,examination,38,pending,2023-10-30T01:57:00
1021909,DGU0339,DG052,2023-11-05T09:30:00,2023-11-05T10:30:00,meeting,17,pending,2023-09-06T00:55:00
1021910,DGU0050,DG006,2024-11-03T13:00:00,2024-11-03T14:30:00,administrative event,26,rejected,2024-09-16T05:08:00
1021911,DGU0262,DG031,2025-04-05T13:00:00,2025-04-05T14:00:00,examination,293,completed,2025-03-13T07:01:00
1021912,DGU0309,DG002,2024-07-15T15:30:00,2024-07-15T17:00:00,lecture,42,cancelled,2024-06-02T14:49:00
1021913,DGU0150,DG005,2024-11-18T13:00:00,2024-11-18T14:00:00,administrative event,22,cancelled,2024-09-25T08:55:00
1021914,DGU0372,DG035,2025-04-18T16:30:00,2025-04-18T17:30:00,meeting,11,rejected,2025-04-16T10:02:00
1021915,DGU0034,DG044,2024-09-24T14:00:00,2024-09-24T16:00:00,seminar,52,completed,2024-08-01T09:14:00
1021916,DGU0317,DG058,2023-02-04T13:30:00,2023-02-04T14:30:00,student activity,20,rejected,2023-02-01T09:50:00
1021917,DGU0385,DG031,2024-07-07T08:00:00,2024-07-07T10:00:00,seminar,148,approved,2024-06-15T05:44:00
1021918,DGTA0015,DG043,2024-01-31T13:00:00,2024-01-31T15:00:00,seminar,46,completed,2023-12-28T09:44:00
1021919,DGU0326,DG003,2023-08-30T09:30:00,2023-08-30T10:30:00,student activity,15,cancelled,2023-08-16T04:29:00
1021920,DGU0232,DG006,2023-04-02T13:00:00,2023-04-02T15:00:00,student activity,50,cancelled,2023-03-23T05:57:00
1021921,DGDA0004,DG044,2022-09-19T13:00:00,2022-09-19T14:00:00,seminar,43,approved,2022-09-10T11:18:00
1021922,DGU0188,DG004,2023-02-15T11:00:00,2023-02-15T13:00:00,workshop,5,cancelled,2022-12-26T09:25:00
1021923,DGL0002,DG022,2023-02-11T11:00:00,2023-02-11T12:00:00,student activity,12,no-show,2023-01-04T05:03:00
1021924,DGU0393,DG036,2025-04-05T16:00:00,2025-04-05T18:00:00,workshop,44,approved,2025-03-26T09:30:00
1021925,DGU0338,DG055,2024-01-30T13:00:00,2024-01-30T14:00:00,examination,70,completed,2023-12-16T10:11:00
1021926,DGU0175,DG039,2025-07-19T09:00:00,2025-07-19T12:00:00,examination,30,completed,2025-06-24T07:53:00
1021927,DGU0376,DG052,2024-09-23T15:00:00,2024-09-23T17:00:00,workshop,19,completed,2024-09-10T13:58:00
1021928,DGL0023,DG047,2024-07-01T16:00:00,2024-07-01T17:00:00,meeting,7,completed,2024-05-17T12:37:00
1021929,DGU0210,DG048,2023-10-07T13:00:00,2023-10-07T14:00:00,workshop,12,completed,2023-10-01T07:03:00
1021930,DGU0274,DG001,2025-02-25T11:00:00,2025-02-25T13:00:00,seminar,85,completed,2025-01-02T10:56:00
1021931,DGU0157,DG059,2024-09-10T15:30:00,2024-09-10T16:30:00,meeting,3,pending,2024-07-17T07:25:00
1021932,DGL0031,DG031,2024-05-13T15:00:00,2024-05-13T16:00:00,administrative event,206,completed,2024-04-30T09:10:00
1021933,DGU0065,DG025,2022-11-27T11:00:00,2022-11-27T13:00:00,workshop,59,no-show,2022-10-11T03:58:00
1021934,DGU0216,DG018,2024-02-27T10:00:00,2024-02-27T12:00:00,workshop,20,completed,2024-01-28T07:29:00
1021935,DGU0177,DG025,2024-07-15T08:30:00,2024-07-15T10:00:00,lecture,174,cancelled,2024-07-02T08:12:00
1021936,DGU0065,DG032,2024-12-08T11:00:00,2024-12-08T13:00:00,lecture,34,completed,2024-11-04T06:47:00
1021937,DGU0298,DG004,2025-02-01T10:00:00,2025-02-01T12:00:00,student activity,18,completed,2025-01-06T09:43:00
1021938,DGU0375,DG001,2024-12-27T15:30:00,2024-12-27T17:00:00,examination,115,cancelled,2024-12-08T08:58:00
1021939,DGL0016,DG044,2025-05-17T10:00:00,2025-05-17T11:00:00,examination,15,approved,2025-04-26T00:18:00
1021940,DGU0262,DG052,2024-10-30T10:00:00,2024-10-30T12:00:00,workshop,13,approved,2024-10-12T06:05:00
1021941,DGU0341,DG006,2025-06-30T09:00:00,2025-06-30T12:00:00,meeting,26,completed,2025-06-24T02:49:00
1021942,DGL0027,DG059,2022-11-29T09:00:00,2022-11-29T10:00:00,seminar,16,completed,2022-10-26T02:44:00
1021943,DGU0144,DG034,2023-05-26T12:00:00,2023-05-26T13:00:00,student activity,29,completed,2023-04-10T08:50:00
1021944,DGL0034,DG012,2025-08-14T11:00:00,2025-08-14T12:00:00,student activity,11,completed,2025-08-01T06:56:00
1021945,DGU0388,DG051,2024-02-18T13:00:00,2024-02-18T14:00:00,examination,24,cancelled,2024-02-02T06:01:00
1021946,DGU0025,DG006,2024-05-31T09:30:00,2024-05-31T10:30:00,seminar,37,rejected,2024-04-26T02:18:00
1021947,DGU0121,DG041,2023-05-01T08:00:00,2023-05-01T09:00:00,meeting,7,pending,2023-04-16T00:33:00
1021948,DGU0158,DG007,2024-11-01T08:00:00,2024-11-01T09:00:00,seminar,179,no-show,2024-10-07T22:53:00
1021949,DGU0094,DG021,2023-01-15T09:00:00,2023-01-15T10:00:00,administrative event,24,cancelled,2023-01-10T23:48:00
1021950,DGL0002,DG047,2023-08-15T14:00:00,2023-08-15T16:00:00,meeting,8,approved,2023-07-12T04:06:00
1021951,DGU0327,DG022,2023-02-01T11:00:00,2023-02-01T13:00:00,student activity,9,cancelled,2023-01-29T04:53:00
1021952,DGU0204,DG053,2024-09-28T11:00:00,2024-09-28T13:00:00,lecture,3,completed,2024-08-11T03:23:00
1021953,DGU0343,DG013,2025-07-14T09:00:00,2025-07-14T11:00:00,examination,236,completed,2025-07-07T05:27:00
1021954,DGU0377,DG050,2023-06-23T14:00:00,2023-06-23T16:00:00,seminar,42,completed,2023-06-04T13:16:00
1021955,DGU0334,DG028,2023-01-18T08:00:00,2023-01-18T09:00:00,student activity,12,pending,2023-01-08T00:46:00
1021956,DGL0014,DG054,2025-03-11T12:00:00,2025-03-11T15:00:00,student activity,7,completed,2025-02-06T04:14:00
1021957,DGU0363,DG053,2023-11-19T15:00:00,2023-11-19T16:00:00,meeting,1,completed,2023-11-03T12:02:00
1021958,DGTA0015,DG039,2024-12-14T14:00:00,2024-12-14T15:00:00,student activity,4,completed,2024-11-30T13:45:00
1021959,DGU0321,DG003,2024-09-12T14:00:00,2024-09-12T15:00:00,student activity,20,completed,2024-08-12T07:03:00
1021960,DGU0248,DG012,2024-04-15T09:00:00,2024-04-15T10:00:00,workshop,17,completed,2024-03-25T03:13:00
1021961,DGU0263,DG054,2024-07-26T08:00:00,2024-07-26T09:30:00,workshop,31,pending,2024-05-28T22:40:00
1021962,DGU0185,DG026,2022-09-19T12:00:00,2022-09-19T13:00:00,seminar,35,rejected,2022-08-30T09:38:00
1021963,DGU0142,DG057,2025-08-22T15:00:00,2025-08-22T16:00:00,examination,22,completed,2025-07-24T11:26:00
1021964,DGU0027,DG023,2025-03-13T14:00:00,2025-03-13T16:00:00,administrative event,12,completed,2025-02-03T09:59:00
1021965,DGU0327,DG010,2022-11-03T08:00:00,2022-11-03T09:30:00,workshop,7,cancelled,2022-11-01T03:57:00
1021966,DGU0189,DG044,2023-10-30T10:00:00,2023-10-30T12:00:00,lecture,32,rejected,2023-10-17T05:01:00
1021967,DGL0027,DG034,2022-09-09T15:00:00,2022-09-09T17:00:00,meeting,11,rejected,2022-07-12T09:04:00
1021968,DGU0015,DG002,2025-07-01T14:30:00,2025-07-01T15:30:00,examination,21,pending,2025-06-15T04:49:00
1021969,DGU0222,DG056,2023-03-19T09:30:00,2023-03-19T10:30:00,meeting,19,cancelled,2023-02-15T00:07:00
1021970,DGU0348,DG025,2024-12-16T13:00:00,2024-12-16T15:00:00,administrative event,116,completed,2024-10-18T03:43:00
1021971,DGU0291,DG039,2025-03-01T17:00:00,2025-03-01T18:00:00,student activity,8,completed,2025-02-14T16:34:00
1021972,DGU0344,DG025,2025-04-20T15:00:00,2025-04-20T17:00:00,administrative event,147,completed,2025-03-01T06:49:00
1021973,DGL0002,DG054,2024-11-13T16:00:00,2024-11-13T18:00:00,student activity,14,completed,2024-10-09T14:14:00
1021974,DGU0272,DG025,2024-04-24T10:30:00,2024-04-24T11:30:00,examination,161,pending,2024-03-26T06:30:00
1021975,DGL0031,DG058,2022-10-27T12:00:00,2022-10-27T13:00:00,workshop,27,approved,2022-10-03T02:44:00
1021976,DGL0007,DG060,2022-12-26T10:30:00,2022-12-26T12:00:00,meeting,45,rejected,2022-11-09T03:50:00
1021977,DGU0153,DG051,2024-09-25T16:00:00,2024-09-25T17:30:00,examination,21,rejected,2024-09-07T11:45:00
1021978,DGU0289,DG028,2024-06-06T08:00:00,2024-06-06T09:00:00,workshop,7,completed,2024-04-07T06:44:00
1021979,DGU0126,DG021,2023-07-11T10:00:00,2023-07-11T11:00:00,student activity,30,completed,2023-05-30T06:29:00
1021980,DGU0010,DG005,2024-01-14T14:30:00,2024-01-14T16:30:00,administrative event,15,rejected,2023-12-31T07:36:00
1021981,DGU0301,DG050,2024-08-21T17:00:00,2024-08-21T18:00:00,lecture,37,completed,2024-08-09T09:48:00
1021982,DGU0346,DG033,2023-01-11T10:30:00,2023-01-11T11:30:00,student activity,20,pending,2022-11-21T03:32:00
1021983,DGU0317,DG037,2025-08-11T13:30:00,2025-08-11T14:30:00,seminar,44,rejected,2025-08-04T07:13:00
1021984,DGU0196,DG024,2024-11-26T08:00:00,2024-11-26T09:00:00,meeting,37,approved,2024-10-18T05:10:00
1021985,DGU0290,DG013,2024-07-30T12:00:00,2024-07-30T13:00:00,seminar,138,completed,2024-06-23T03:42:00
1021986,DGU0165,DG036,2024-06-09T16:00:00,2024-06-09T17:00:00,workshop,11,completed,2024-05-08T15:26:00
1021987,DGU0315,DG038,2023-10-29T14:00:00,2023-10-29T15:00:00,seminar,30,pending,2023-10-13T04:28:00
1021988,DGTA0020,DG028,2024-04-12T09:30:00,2024-04-12T11:30:00,administrative event,12,rejected,2024-03-26T07:16:00
1021989,DGU0289,DG025,2024-02-20T11:00:00,2024-02-20T12:00:00,student activity,208,rejected,2024-02-03T05:01:00
1021990,DGU0301,DG027,2024-10-19T08:00:00,2024-10-19T10:00:00,student activity,33,completed,2024-10-11T04:11:00
1021991,DGU0072,DG028,2025-03-23T12:30:00,2025-03-23T13:30:00,workshop,8,pending,2025-03-09T09:14:00
1021992,DGU0394,DG033,2024-03-10T09:00:00,2024-03-10T11:00:00,student activity,41,completed,2024-01-23T07:21:00
1021993,DGU0183,DG016,2023-10-10T14:00:00,2023-10-10T15:00:00,workshop,9,no-show,2023-09-25T06:25:00
1021994,DGU0258,DG001,2025-07-29T10:30:00,2025-07-29T12:30:00,administrative event,129,cancelled,2025-06-20T00:37:00
1021995,DGU0084,DG022,2023-03-14T08:00:00,2023-03-14T09:00:00,meeting,9,approved,2023-01-16T02:20:00
1021996,DGU0220,DG054,2024-08-08T14:00:00,2024-08-08T15:00:00,student activity,30,cancelled,2024-07-01T09:31:00
1021997,DGU0056,DG024,2023-09-09T11:00:00,2023-09-09T12:00:00,workshop,7,completed,2023-07-25T02:16:00
1021998,DGU0069,DG004,2024-07-30T11:30:00,2024-07-30T13:30:00,workshop,9,cancelled,2024-07-12T08:07:00
1021999,DGU0366,DG047,2025-01-19T08:00:00,2025-01-19T09:00:00,meeting,3,no-show,2024-12-05T06:37:00
1022000,DGU0369,DG059,2023-11-21T16:00:00,2023-11-21T18:00:00,meeting,14,completed,2023-11-16T06:00:00
1022001,DGU0024,DG046,2025-02-07T09:00:00,2025-02-07T12:00:00,workshop,23,completed,2025-02-01T00:15:00
1022002,DGU0314,DG055,2025-08-29T13:30:00,2025-08-29T14:30:00,administrative event,192,rejected,2025-07-03T11:41:00
1022003,DGU0076,DG022,2023-04-17T13:00:00,2023-04-17T16:00:00,administrative event,8,completed,2023-04-01T04:21:00
1022004,DGU0361,DG035,2024-01-05T11:00:00,2024-01-05T12:00:00,seminar,4,pending,2023-11-25T08:35:00
1022005,DGU0184,DG050,2024-09-04T17:00:00,2024-09-04T18:00:00,seminar,9,approved,2024-07-26T08:13:00
1022006,DGU0145,DG004,2022-10-06T15:00:00,2022-10-06T16:00:00,meeting,9,pending,2022-09-01T10:51:00
1022007,DGU0318,DG028,2023-10-11T12:00:00,2023-10-11T13:00:00,student activity,13,completed,2023-08-15T06:37:00
1022008,DGU0169,DG050,2023-12-05T08:00:00,2023-12-05T09:00:00,seminar,25,no-show,2023-10-27T08:00:00
1022009,DGU0158,DG032,2024-12-20T15:00:00,2024-12-20T16:30:00,seminar,14,pending,2024-11-26T08:09:00
1022010,DGU0115,DG024,2024-04-01T11:00:00,2024-04-01T12:00:00,workshop,17,completed,2024-02-21T04:22:00
1022011,DGU0309,DG019,2023-01-03T13:30:00,2023-01-03T14:30:00,examination,92,pending,2022-11-17T04:14:00
1022012,DGU0247,DG056,2023-01-04T11:00:00,2023-01-04T14:00:00,examination,26,completed,2022-12-06T05:09:00
1022013,DGL0013,DG035,2023-12-02T16:00:00,2023-12-02T17:00:00,administrative event,7,no-show,2023-11-28T15:05:00
1022014,DGU0087,DG028,2024-11-05T15:00:00,2024-11-05T17:00:00,meeting,11,completed,2024-10-30T12:30:00
1022015,DGU0271,DG006,2023-05-21T13:00:00,2023-05-21T15:00:00,student activity,35,approved,2023-04-17T12:43:00
1022016,DGU0274,DG030,2022-09-10T16:00:00,2022-09-10T17:00:00,meeting,4,completed,2022-08-10T06:33:00
1022017,DGU0343,DG006,2025-08-04T09:00:00,2025-08-04T10:00:00,workshop,13,completed,2025-07-19T04:34:00
1022018,DGTA0016,DG051,2025-04-03T11:00:00,2025-04-03T12:00:00,student activity,45,approved,2025-02-15T06:09:00
1022019,DGU0313,DG037,2023-04-25T11:00:00,2023-04-25T13:00:00,workshop,120,completed,2023-04-15T06:41:00
1022020,DGU0098,DG015,2024-11-19T13:00:00,2024-11-19T15:00:00,examination,30,rejected,2024-09-24T11:23:00
1022021,DGU0328,DG012,2023-03-30T11:00:00,2023-03-30T12:00:00,meeting,14,pending,2023-03-25T04:13:00
1022022,DGU0280,DG005,2023-04-21T16:00:00,2023-04-21T17:00:00,meeting,23,no-show,2023-02-22T06:57:00
1022023,DGU0089,DG039,2022-11-21T09:00:00,2022-11-21T11:00:00,lecture,30,completed,2022-10-10T02:42:00
1022024,DGU0395,DG020,2025-02-05T10:30:00,2025-02-05T11:30:00,lecture,10,rejected,2024-12-21T07:20:00
1022025,DGU0052,DG042,2023-05-10T10:00:00,2023-05-10T12:00:00,workshop,16,completed,2023-03-19T04:44:00
1022026,DGU0262,DG031,2023-04-30T10:00:00,2023-04-30T12:00:00,meeting,216,completed,2023-03-31T01:22:00
1022027,DGU0184,DG050,2024-05-02T12:30:00,2024-05-02T14:00:00,examination,37,pending,2024-03-23T07:19:00
1022028,DGU0048,DG041,2023-03-23T16:00:00,2023-03-23T17:30:00,seminar,3,cancelled,2023-01-28T15:10:00
1022029,DGU0377,DG023,2024-08-09T08:00:00,2024-08-09T09:00:00,seminar,5,pending,2024-08-01T23:06:00
1022030,DGU0025,DG043,2025-01-26T16:30:00,2025-01-26T17:30:00,seminar,272,cancelled,2024-12-02T09:22:00
1022031,DGU0263,DG019,2023-05-20T15:30:00,2023-05-20T16:30:00,workshop,28,pending,2023-03-26T07:48:00
1022032,DGU0036,DG032,2022-12-15T14:00:00,2022-12-15T15:00:00,examination,26,completed,2022-11-22T06:01:00
1022033,DGU0231,DG050,2022-10-02T08:00:00,2022-10-02T09:00:00,lecture,9,cancelled,2022-09-29T07:12:00
1022034,DGU0129,DG012,2023-08-23T14:30:00,2023-08-23T15:30:00,student activity,8,pending,2023-07-22T12:15:00
1022035,DGU0098,DG008,2023-01-01T11:30:00,2023-01-01T13:30:00,seminar,28,cancelled,2022-11-25T10:21:00
1022036,DGU0030,DG028,2022-12-15T15:00:00,2022-12-15T16:00:00,student activity,12,completed,2022-11-28T06:33:00
1022037,DGU0358,DG034,2025-08-03T12:30:00,2025-08-03T14:00:00,meeting,20,cancelled,2025-06-26T06:36:00
1022038,DGU0056,DG007,2023-08-20T08:00:00,2023-08-20T10:00:00,administrative event,111,completed,2023-07-19T01:06:00
1022039,DGU0287,DG029,2025-04-24T13:00:00,2025-04-24T16:00:00,seminar,19,approved,2025-03-07T04:39:00
1022040,DGTA0010,DG014,2025-01-19T08:00:00,2025-01-19T09:00:00,lecture,12,completed,2024-12-05T05:17:00
1022041,DGL0031,DG015,2024-05-05T13:00:00,2024-05-05T14:00:00,student activity,33,completed,2024-03-11T03:12:00
1022042,DGU0251,DG023,2025-04-22T15:00:00,2025-04-22T17:00:00,administrative event,6,completed,2025-04-11T08:59:00
1022043,DGU0159,DG022,2023-04-10T11:00:00,2023-04-10T13:00:00,meeting,13,completed,2023-04-03T08:34:00
1022044,DGU0066,DG012,2025-08-27T08:00:00,2025-08-27T09:00:00,workshop,6,completed,2025-08-17T07:33:00
1022045,DGU0007,DG035,2023-05-29T08:00:00,2023-05-29T09:00:00,administrative event,2,completed,2023-03-30T04:52:00
1022046,DGU0381,DG057,2023-07-16T11:00:00,2023-07-16T12:30:00,examination,13,pending,2023-07-11T02:20:00
1022047,DGU0081,DG050,2022-12-29T10:30:00,2022-12-29T11:30:00,lecture,9,pending,2022-12-26T02:35:00
1022048,DGU0293,DG039,2024-10-11T13:00:00,2024-10-11T14:00:00,workshop,23,cancelled,2024-08-18T10:05:00
1022049,DGU0313,DG037,2024-02-09T15:00:00,2024-02-09T18:00:00,meeting,48,approved,2023-12-28T06:16:00
1022050,DGU0226,DG036,2023-01-08T10:00:00,2023-01-08T11:00:00,seminar,40,completed,2022-12-28T03:02:00
1022051,DGL0018,DG006,2025-02-23T15:00:00,2025-02-23T16:00:00,student activity,22,rejected,2025-01-03T12:55:00
1022052,DGU0241,DG021,2024-08-10T14:30:00,2024-08-10T15:30:00,examination,30,pending,2024-06-25T11:55:00
1022053,DGU0280,DG027,2022-10-31T14:30:00,2022-10-31T15:30:00,lecture,29,cancelled,2022-09-05T09:50:00
1022054,DGU0307,DG008,2025-07-17T14:30:00,2025-07-17T15:30:00,examination,24,cancelled,2025-06-28T12:42:00
1022055,DGU0105,DG051,2023-07-03T08:00:00,2023-07-03T09:30:00,examination,14,pending,2023-06-24T01:28:00
1022056,DGU0035,DG001,2022-09-25T14:00:00,2022-09-25T17:00:00,administrative event,140,completed,2022-08-04T07:29:00
1022057,DGL0019,DG037,2023-03-18T13:00:00,2023-03-18T14:00:00,meeting,127,completed,2023-02-27T10:24:00
1022058,DGU0126,DG029,2025-02-23T10:00:00,2025-02-23T11:00:00,meeting,10,no-show,2025-02-01T04:36:00
1022059,DGU0189,DG051,2022-09-10T14:00:00,2022-09-10T15:00:00,examination,19,completed,2022-08-07T05:48:00
1022060,DGU0243,DG055,2024-10-09T10:30:00,2024-10-09T12:30:00,workshop,172,pending,2024-09-04T02:20:00
1022061,DGU0288,DG060,2022-12-13T11:00:00,2022-12-13T14:00:00,student activity,26,completed,2022-10-30T07:37:00
1022062,DGU0386,DG032,2024-06-25T08:00:00,2024-06-25T09:00:00,lecture,35,completed,2024-06-10T04:40:00
1022063,DGU0352,DG045,2022-10-17T12:00:00,2022-10-17T14:00:00,lecture,17,cancelled,2022-09-04T03:09:00
1022064,DGU0172,DG027,2022-11-22T10:30:00,2022-11-22T12:30:00,student activity,31,cancelled,2022-10-23T08:53:00
1022065,DGU0221,DG051,2025-04-03T08:00:00,2025-04-03T09:00:00,student activity,10,completed,2025-03-28T02:23:00
1022066,DGU0117,DG056,2024-02-02T13:00:00,2024-02-02T14:00:00,lecture,22,cancelled,2023-12-23T12:56:00
1022067,DGU0321,DG013,2025-02-24T08:00:00,2025-02-24T10:00:00,seminar,153,cancelled,2025-01-29T03:50:00
1022068,DGU0363,DG042,2025-03-10T10:00:00,2025-03-10T12:00:00,workshop,20,completed,2025-02-13T02:04:00
1022069,DGTA0021,DG001,2023-10-11T14:00:00,2023-10-11T15:00:00,examination,65,pending,2023-09-28T04:23:00
1022070,DGU0128,DG035,2023-10-30T11:00:00,2023-10-30T13:00:00,seminar,4,approved,2023-10-14T03:59:00
1022071,DGU0240,DG049,2024-07-16T17:00:00,2024-07-16T18:00:00,workshop,129,completed,2024-05-21T13:29:00
1022072,DGU0158,DG026,2024-09-05T09:00:00,2024-09-05T10:00:00,examination,32,completed,2024-08-30T07:13:00
1022073,DGU0118,DG051,2025-04-08T15:00:00,2025-04-08T16:00:00,student activity,41,completed,2025-03-14T14:39:00
1022074,DGU0306,DG012,2024-09-24T16:00:00,2024-09-24T17:00:00,student activity,13,pending,2024-08-15T14:00:00
1022075,DGU0136,DG032,2025-03-13T12:00:00,2025-03-13T13:00:00,examination,47,completed,2025-03-07T10:15:00
1022076,DGU0132,DG035,2023-11-11T10:30:00,2023-11-11T12:00:00,seminar,10,cancelled,2023-10-11T10:04:00
1022077,DGU0091,DG030,2023-11-13T13:00:00,2023-11-13T14:00:00,student activity,25,completed,2023-09-21T10:15:00
1022078,DGU0192,DG005,2024-02-13T12:00:00,2024-02-13T15:00:00,meeting,8,completed,2023-12-27T07:00:00
